order_id,order_date,customer_id,segment,region,category,sub_category,product_id,quantity,sales,discount,profit,shipping_cost
ORD-004477,2024-01-01,CUST-00677,Corporate,North,Office Supplies,Binders,SKU-OFF-346,7,189.87,0.0,43.76,24.32
ORD-005902,2024-01-01,CUST-00024,Consumer,East,Technology,Accessories,SKU-TEC-371,5,253.72,0.0,46.0,17.59
ORD-001772,2024-01-01,CUST-01008,Corporate,Central,Furniture,Storage,SKU-FUR-469,7,296.91,0.1,19.67,15.92
ORD-000302,2024-01-01,CUST-00557,Home Office,South,Furniture,Tables,SKU-FUR-641,5,227.44,0.1,27.3,44.51
ORD-004204,2024-01-01,CUST-00963,Consumer,West,Office Supplies,Labels,SKU-OFF-389,4,102.47,0.3,3.68,42.71
ORD-004573,2024-01-01,CUST-01113,Consumer,South,Furniture,Chairs,SKU-FUR-157,2,156.34,0.0,0.52,38.55
ORD-004716,2024-01-01,CUST-00095,Consumer,South,Office Supplies,Paper,SKU-OFF-692,5,452.14,0.0,37.2,33.99
ORD-005624,2024-01-01,CUST-00336,Consumer,Central,Furniture,Bookcases,SKU-FUR-676,1,428.11,0.2,-73.43,31.23
ORD-000472,2024-01-01,CUST-00752,Corporate,East,Office Supplies,Paper,SKU-OFF-550,3,391.16,0.2,13.65,31.19
ORD-002300,2024-01-02,CUST-00386,Consumer,South,Technology,Phones,SKU-TEC-319,5,274.74,0.3,6.65,21.93
ORD-001870,2024-01-02,CUST-00357,Home Office,East,Furniture,Storage,SKU-FUR-955,4,316.57,0.2,30.78,40.59
ORD-004361,2024-01-02,CUST-00428,Home Office,North,Office Supplies,Labels,SKU-OFF-671,6,198.29,0.0,50.87,5.53
ORD-003655,2024-01-02,CUST-00052,Consumer,Central,Office Supplies,Labels,SKU-OFF-558,3,250.69,0.0,46.93,27.1
ORD-001394,2024-01-02,CUST-00939,Consumer,South,Furniture,Tables,SKU-FUR-680,4,475.83,0.1,39.51,37.77
